求人番号,職種,仕事の内容,賃金,就業時間,事業所名,URL
13010-02774211,【指定管理】相談拠点相談員,千代田区の委託を受けた高齢者総合サポートセンターの相談業務を２４時間３６５日体制で行います。個別ケースを持ちませんが地域高齢者全体を包括的に支援する役割,"222,000円〜272,000円",変形労働時間制,社会福祉法人東京栄和会　千代田区立一番町特別養護老人ホーム,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002774211&kJKbn=1&jGSHNo=zi0dARZ982Vli0caXW0tQw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02813511,システムエンジニア（．ＮＥＴ）,システム開発・保守（経験によりスキルにあったプロジェクトへ参画を行います）,"302,250円〜500,123円","										（1）09時00分〜18時00分
",株式会社　システムソフィア,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002813511&kJKbn=1&jGSHNo=mv3gqFe2fa1aLZIuA0%2F2nA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02815011,インフラ系エンジニア,各サーバー設計・構築（経験してきたスキルにあったプロジェクトに参画していただきます）,"302,250円〜500,123円","										（1）09時00分〜18時00分
",株式会社　システムソフィア,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002815011&kJKbn=1&jGSHNo=mv3gqFe2fa1aLZIuA0%2F2nA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03163811,ＣＯＢＯＬ技術者（汎用機、ＵＮＩＸ）,１．プログラマー　　詳細設計、製造、テスト（初心者は製造～テスト）２．システムエンジニア,"200,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　Ｊ－ＴＥＣ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003163811&kJKbn=1&jGSHNo=olKVSLg3Jy4m%2Bgw61HDztg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03168311,Ｃ、Ｃ＋＋技術者（ＵＮＩＸ、Ｗｉｎｄｏｗｓ）,・プログラマー　詳細設計～単体テスト・システムエンジニア,"200,000円〜600,000円","										（1）09時00分〜17時30分
",株式会社　Ｊ－ＴＥＣ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003168311&kJKbn=1&jGSHNo=olKVSLg3Jy4m%2Bgw61HDztg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03169611,ＶＢ．Ｎｅｔ技術者ＡＳＰ．Ｎｅｔ技術者,・プログラマー　詳細設計／単体テスト,"200,000円〜600,000円","										（1）09時00分〜17時30分
",株式会社　Ｊ－ＴＥＣ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003169611&kJKbn=1&jGSHNo=olKVSLg3Jy4m%2Bgw61HDztg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-03170811,Ｃ♯．Ｎｅｔ／ＶＢ．Ｎｅｔ技術者,〔システムエンジニア〕・要件定義～製造～結合,"200,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　Ｊ－ＴＥＣ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301003170811&kJKbn=1&jGSHNo=olKVSLg3Jy4m%2Bgw61HDztg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-01330211,Ｌｉｎｕｘ（ＲＨＥＬ）基盤構築（九段下）,基盤アーキテクチャ刷新を伴うシステム更改に関するサーバ構築担当および維持管理　（要件定義からの参画）,"300,000円〜400,000円","										（1）09時00分〜18時00分
",株式会社　富士三和総研,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309001330211&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-01385911,システム・アプリ開発部門統括,地域×ＩＴをテーマした新しい会社です。今後の会社の規模拡張に伴う,"600,000円〜1,000,000円",フレックスタイム制,（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309001385911&kJKbn=1&jGSHNo=nccBsNWMUm2LZ373eymFUg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
14010-02379011,システムエンジニア,コンピュータソフトウエアの設計・開発・開発言語は,"300,000円〜660,000円",フレックスタイム制,（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1401002379011&kJKbn=1&jGSHNo=x%2FgyvwtocwVbzXN8LrDH8g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02122111,ＳＥ,受託開発チームの業務ＳＥおよび開発リーダを担当して頂きます。システム営業と協同で、お客様のニーズ、お悩みをヒアリングしソリューション提案をして頂きます。,"220,000円〜400,000円","										（1）09時00分〜17時45分
",株式会社　創源　神田営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002122111&kJKbn=1&jGSHNo=P6kRWVjSiYdApGv5lizqag%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02139911,システムエンジニア（システム運用、業務運用）,Ｗｉｎｄｏｗｓサーバ、Ｌｉｎｕｘサーバをメインとして様々な運用業務を行います。入社後は社内研修で約１ヶ月間ＩＴ技術の基礎を学びます。,"200,000円〜400,000円","										（1）09時00分〜17時45分
",株式会社　創源　神田営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002139911&kJKbn=1&jGSHNo=P6kRWVjSiYdApGv5lizqag%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-02144411,プロジェクトマネージャー、ＰＭＯ,オープン系、ＷＥＢ系システム開発プロジェクトの管理全般・要件定義、機能仕様管理、進捗管理、品質管理、お客様へ,"300,000円〜500,000円",フレックスタイム制,株式会社　プリンスソフト,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301002144411&kJKbn=1&jGSHNo=DyTMFyYSdMuZbe2dzefvRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
04010-01350011,ＳＥ（経験者）,・ＪＡＶＡ、ＰＨＰ、Ｃ♯、ＣＯＢＯＬ等でのＷｅｂ・オープン系　システム開発,"172,000円〜525,000円","										（1）09時00分〜17時45分
",株式会社　グローバルソフトウェアサービス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=0401001350011&kJKbn=1&jGSHNo=9dPoSMTSJJEH3JOAVf8fRQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
11030-00660711,システム設計・プログラム開発［千代田区］＜トライアル併用,・取引先のシステム設計・プログラム開発及びその関連作業・入社後、社内にて研修を行います。,"180,000円〜250,000円","										（1）09時00分〜17時45分
",株式会社　ハイデックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1103000660711&kJKbn=1&jGSHNo=HDVF36LDM7fGZlT55XIJBw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
11030-00669111,システム設計・プログラム開発［千代田区］（経験者）,取引先のシステム設計・プログラム開発及びその関連作業　・ＰＭＯ業務　・ＳＥ、ＰＧ,"255,000円〜550,000円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1103000669111&kJKbn=1&jGSHNo=HDVF36LDM7fGZlT55XIJBw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01846011,ＩＴエンジニア（業務系・インフラ系）,業務系ソフトウェア開発（物流、金融、流通、製造、サービス業）の業務分野を中心とした基幹業務システム開発やＷＥＢアプリケーション開発,"300,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　来夢多,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001846011&kJKbn=1&jGSHNo=hziEPG7axx3rAeMpc2ia%2Fg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01849911,ＩＴエンジニア（組込み・制御）,制御・組込系ソフトウエア開発（遠隔制御、遠隔監視、画像システム、等）,"300,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　来夢多,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001849911&kJKbn=1&jGSHNo=hziEPG7axx3rAeMpc2ia%2Fg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01224011,システム開発：ｗｅｂシステム、ＰＨＰ、Ｆｉｌｅｍａｋｅｒ,・お客様に業務内容をヒアリングし、システムを組み、そのシステ　ム導入のフォローをして頂きます。・月１～２回程度お客様のオフィスに伺い、進捗状況確認と報告を,"200,000円〜420,000円","										（1）10時00分〜19時00分
",ブロードバンドジャパン株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001224011&kJKbn=1&jGSHNo=PmRuSgHe4T0%2B1krvRi1BVA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01392511,病院内システムの保守・運用・ヘルプデスク業務,・電子カルテシステムならびに病院内ＩＴシステムの保守・運用・将来的に医療機関（病院）での常駐型ヘルプデスク業務可能性有,"180,000円〜350,000円","										（1）09時00分〜18時00分
",プレシャスシステム　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001392511&kJKbn=1&jGSHNo=DHuMsuELMQgVRLb6hNZGcg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-01405211,業務系システムエンジニア,人事労務・会計の業務システムの社内開発を主な業務としており、設計作業からシステムテストまで携わって頂きます。大手メーカーから受注しており、発注元の大手メーカーと一緒にエンドユーザ,"280,000円〜450,000円","										（1）09時00分〜18時00分
",株式会社　イーエムエス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301001405211&kJKbn=1&jGSHNo=M9EHAtUacvsHAvgkJrQzsg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
41010-00078011,ネットワーク技術者（転勤なし）,◎ＩＳＰ業務全般、及びネットワーク・サーバなどのインフラ設計　構築、運用等（Ｗｉｎｄｏｗｓ・Ｌｉｎｕｘ等）　　　　　　　　　　,"235,000円〜505,000円",フレックスタイム制,（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4101000078011&kJKbn=1&jGSHNo=Dinzxbcm%2BQTyQBFVdFRxjQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
41010-00096311,ネットワーク技術者　将来の幹部候補（転勤あり）,◎ＩＳＰ業務全般、及びネットワーク・サーバなどの　インフラ設計、構築、運用等（Ｗｉｎｄｏｗｓ・Ｌｉｎｕｘ等）,"255,000円〜505,000円",フレックスタイム制,株式会社　ネットコムＢＢ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4101000096311&kJKbn=1&jGSHNo=Dinzxbcm%2BQTyQBFVdFRxjQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00023911,ＳＥ・プログラマー,金融・証券を中心に、メインフレームからＷｅｂシステム、スマートフォンアプリまで幅広い設計・開発をしています。,"230,000円〜550,000円","										（1）09時00分〜17時30分
",株式会社　マークス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000023911&kJKbn=1&jGSHNo=3%2F%2BZxxLZrgTdnFiDrn2tDg%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00064311,ＩＴエンジニア／組込み系（未経験可）,既卒の方や社会人経験の少ない方も歓迎します。チーム制、サポートの元、信頼を置いて働ける環境です。※経験の少ない方には研修・教育制度の用意もあります。,"184,000円〜250,000円","										（1）09時00分〜18時00分
",株式会社リズネット,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000064311&kJKbn=1&jGSHNo=pBAZjvG%2Bhrv59ubSoT6ndQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00065611,ＩＴエンジニア／組込み系（経験者）,チーム制、サポートの元、信頼を置いて働ける環境です。「ヒューマンスキル」の向上に焦点を当てた社員教育も定期的に実施しており、エンジニアとして成長できます。,"250,000円〜400,000円","										（1）09時00分〜18時00分
",株式会社リズネット,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000065611&kJKbn=1&jGSHNo=pBAZjvG%2Bhrv59ubSoT6ndQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00325811,ネットワークエンジニア（ＣＣＮＡ資格者）,ネットワークエンジニア。Ｃｉｓｃｏルータ、Ｃａｔａｌｙｓｔスイッチに関する業務。,"230,000円〜560,000円","										（1）09時00分〜18時00分
",株式会社　北陸電算　東京営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000325811&kJKbn=1&jGSHNo=cu6K7o7rqW2It1egfDVMWw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00327511,サーバーエンジニア（ＬＰＩＣ資格者）,Ｌｉｎｕｘ、Ｗｉｎｄｏｗｓ　ＯＳの運用保守（設計～運用等）,"230,000円〜560,000円","										（1）09時00分〜18時00分
",株式会社　北陸電算　東京営業所,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000327511&kJKbn=1&jGSHNo=cu6K7o7rqW2It1egfDVMWw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00847711,システム開発プロジェクトマネージャー、プロジェクトリーダ,・金融・流通・製造分野を中心に、多数の構築案件がございます。・新規開発案件等の提案や立ち上げ、プロジェクトのビルドアップと全体管理。,"500,000円〜900,000円","										（1）09時00分〜18時00分
",株式会社　トレックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000847711&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00852611,クラウドエンジニア【Ａｚｕｒｅ】,・金融・流通・製造分野を中心に、多数の構築案件がございます。・顧客先の開発案件に携わって頂きます。・クラウド環境（Ａｚｕｒｅ）の設計、構築、保守等,"400,000円〜700,000円","										（1）09時00分〜18時00分
",株式会社　トレックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000852611&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00855711,クラウドエンジニア【ＡＷＳ】,・金融・流通・製造分野を中心に、多数の構築案件がございます。・顧客先の開発案件に携わって頂きます。・クラウド環境（ＡＷＳ）の設計、構築、保守等,"400,000円〜700,000円","										（1）09時00分〜18時00分
",株式会社　トレックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000855711&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00864811,システムエンジニア、プログラマ【ＰＨＰ】,・金融・流通・製造分野を中心に、多数の開発案件がございます。・顧客先の開発案件にＰＧまたはＳＥ要員として携わって頂きます。,"400,000円〜700,000円","										（1）09時00分〜18時00分
",株式会社　トレックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000864811&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00866511,システムエンジニア、プログラマ【Ｃ、Ｃ＋＋、Ｃ＃】,・金融・流通・製造分野を中心に、多数の開発案件がございます。・顧客先の開発案件にＰＧまたはＳＥ要員として携わって頂きます。,"400,000円〜700,000円","										（1）09時00分〜18時00分
",株式会社　トレックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000866511&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-00869311,システムエンジニア、プログラマ【ＪＡＶＡ】,・金融・流通・製造分野を中心に、多数の開発案件がございます。・顧客先の開発案件にＰＧまたはＳＥ要員として携わって頂きます。,"400,000円〜700,000円","										（1）09時00分〜18時00分
",株式会社　トレックス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301000869311&kJKbn=1&jGSHNo=O8O2wRmiYeoo18zQvkRsCw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
18020-00412511,システムエンジニア・プログラマー（東京・経験者）,＊コンピューターシステムの設計・開発＊プログラムの作成※次の経験のある方は優遇します。,"200,000円〜500,000円","										（1）09時00分〜18時00分
",株式会社　アートテクノロジー,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1802000412511&kJKbn=1&jGSHNo=FFyFC8vckJ83UeElnrx9xQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-15615502,システムエンジニア,生保、損保、銀行等の金融機関等を対象にシステム開発を行います。・活用可能なスキル例,"220,000円〜470,000円","										（1）09時00分〜17時45分
",（事業所の意向により公開していません）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301015615502&kJKbn=1&jGSHNo=A849cIoS77%2BDkAkqlhdoVA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-15237502,ソフトウェアエンジニア・インフラエンジニア,システムの設計、開発、運用、保守など。サーバー、ネットワークの設計、構築、運用、保守など。自社ＥＣサイトの運用・構築。,"250,000円〜450,000円","										（1）09時00分〜18時00分
",陽天　株式会社,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301015237502&kJKbn=1&jGSHNo=t3sLn00coLX%2BvP8MyiaM4A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-15334502,ネットワーク運用保守,ネットワーク運用保守のお仕事です。・３年以上のブランク、転職回数の多い方応募可・他県からのご応募の方も歓迎※寮あり,"270,000円〜350,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301015334502&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-15344002,Ｃ言語、Ｃ＋＋エンジニア,Ｃ言語、Ｃ＋＋開発のお仕事です。・３年以上のブランク、転職回数の多い方応募可・他県からのご応募の方も歓迎※寮あり,"270,000円〜400,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301015344002&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-15347102,ＶＭｗａｒｅ技術者,ＶＭｗａｒｅを使った業務になります。・３年以上のブランク、転職回数の多い方応募可,"300,000円〜450,000円","										（1）09時00分〜18時00分
",キャル株式会社（東京本部）,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301015347102&kJKbn=1&jGSHNo=yzkxhxrq%2Bm6UNDafcKlKMw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-14902702,システムエンジニア（定年以下）,お客様の要求事項に基づいた業務系ソフトウェアの設計・開発・テストを担当して頂きます。,"200,000円〜370,000円","										（1）09時00分〜18時00分
",株式会社　アクアライクシステムズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301014902702&kJKbn=1&jGSHNo=aATzlY%2Fd4Vl1%2BD74Ir0K6A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-14916302,ＩＴインフラエンジニア（定年以下）,ＩＴインフラを設計・構築し、それらが問題なく稼働するための運用・保守を行います。,"200,000円〜370,000円","										（1）09時00分〜18時00分
",株式会社　アクアライクシステムズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301014916302&kJKbn=1&jGSHNo=aATzlY%2Fd4Vl1%2BD74Ir0K6A%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-14571402,製造業におけるＳ／４ＨＡＮＡ導入ＳＥ,ＳＡＰ　ＳＤモジュール最終移行でマスタクレンジング、投入、エラー検証、差異分析などを行って頂きます。,"450,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　エーティーティーソリューションズ,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301014571402&kJKbn=1&jGSHNo=cvuwJ1gN0it9Lw94cnKCaA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-14085502,システムエンジニア（上流工程・ベンダー調整）,通信システムに特化した、システム設計、要件定義、ベンダー調整を行うプロジェクトメンバーを募集しています。上流工程のご経験がなくても、当社のチームリーダーがＯＪＴで学,"201,000円〜280,000円","										（1）09時30分〜18時00分
",株式会社　システム・プラウド,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301014085502&kJKbn=1&jGSHNo=j1eBevY9e6QfIGR8mhjI3g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-14277802,システム開発技術者／Ｊａｖａ,・Ｊａｖａでのシステム設計～開発、テストのいずれかの　フェーズをご担当いただきます。,"250,000円〜495,000円","										（1）09時00分〜18時00分
",株式会社ジャパンネットワークサービス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301014277802&kJKbn=1&jGSHNo=Y%2BZNaRoOs7SnzM4qdOQ5Vw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-14292402,インフラエンジニア,・お客様の環境で、以下のフェーズのいずれかをご担当いただきます。【業務内容】,"250,000円〜495,000円","										（1）09時00分〜18時00分
",株式会社ジャパンネットワークサービス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301014292402&kJKbn=1&jGSHNo=Y%2BZNaRoOs7SnzM4qdOQ5Vw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-14299302,プログラマー（開発技術者）,下記のいずれかの言語や環境での業務についていただきます。（経験・スキル等を考慮します）,"250,000円〜495,000円","										（1）09時00分〜18時00分
",株式会社ジャパンネットワークサービス,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301014299302&kJKbn=1&jGSHNo=Y%2BZNaRoOs7SnzM4qdOQ5Vw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-14315702,企画開発（プロマネ・リーダー）,＊自社プロダクトや受託案件の開発全般を担当して頂きます　社内開発システムの要件定義／設計／顧客対応　開発者への技術フォロー、スケジュール管理,"400,000円〜600,000円","										（1）09時00分〜18時00分
",株式会社　ワイドテック,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301014315702&kJKbn=1&jGSHNo=G6EEKBkTyZE5hjqpi6cP1g%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
